country,game,medals,host,value
Japan,1920,2,0,-1.136616362192216
Japan,1924,1,0,-1.210484511517077
Japan,1928,5,0,-0.915011914217633
Japan,1932,18,0,0.04527402700555999
Japan,1936,20,0,0.19301032565528198
Japan,1948,0,0,-1.284352660841938
Japan,1952,8,0,-0.69340746624305
Japan,1956,17,0,-0.02859412231930101
Japan,1960,18,0,0.04527402700555999
Japan,1968,25,0,0.562351072279587
Japan,1972,29,0,0.8578236695790311
Japan,1976,25,0,0.562351072279587
Japan,1980,0,0,-1.284352660841938
Japan,1984,31,0,1.005559968228753
Japan,1988,14,0,-0.25019857029388404
Japan,1992,22,0,0.340746624305004
Japan,1996,14,0,-0.25019857029388404
Japan,2000,18,0,0.04527402700555999
Japan,2004,37,0,1.448768864177919
Japan,2008,25,0,0.562351072279587
Japan,2012,37,0,1.448768864177919
Japan,2016,41,0,1.7442414614773631
Japan,2020,58,1,3.0
Japan,2024,45,0,2.0397140587768074
Japan,1964,29,1,0.8578236695790311
Mexico,1896,0,0,-1.1029411764705883
Mexico,1900,0,0,-1.1029411764705883
Mexico,1904,0,0,-1.1029411764705883
Mexico,1906,0,0,-1.1029411764705883
Mexico,1908,0,0,-1.1029411764705883
Mexico,1912,0,0,-1.1029411764705883
Mexico,1920,0,0,-1.1029411764705883
Mexico,1924,0,0,-1.1029411764705883
Mexico,1928,0,0,-1.1029411764705883
Mexico,1932,2,0,-0.19117647058823536
Mexico,1936,3,0,0.2647058823529412
Mexico,1948,5,0,1.1764705882352944
Mexico,1952,1,0,-0.6470588235294118
Mexico,1956,2,0,-0.19117647058823536
Mexico,1960,1,0,-0.6470588235294118
Mexico,1964,1,0,-0.6470588235294118
Mexico,1972,1,0,-0.6470588235294118
Mexico,1976,2,0,-0.19117647058823536
Mexico,1980,4,0,0.7205882352941176
Mexico,1984,6,0,1.6323529411764708
Mexico,1988,2,0,-0.19117647058823536
Mexico,1992,1,0,-0.6470588235294118
Mexico,1996,1,0,-0.6470588235294118
Mexico,2000,6,0,1.6323529411764708
Mexico,2004,4,0,0.7205882352941176
Mexico,2008,3,0,0.2647058823529412
Mexico,2012,7,0,2.088235294117647
Mexico,2016,5,0,1.1764705882352944
Mexico,2020,4,0,0.7205882352941176
Mexico,2024,5,0,1.1764705882352944
Mexico,1968,9,1,3.0
Netherlands,1896,0,0,-1.376470588235294
Netherlands,1900,2,0,-1.133333333333333
Netherlands,1904,0,0,-1.376470588235294
Netherlands,1906,3,0,-1.011764705882353
Netherlands,1908,1,0,-1.2549019607843137
Netherlands,1912,3,0,-1.011764705882353
Netherlands,1920,8,0,-0.4039215686274509
Netherlands,1924,10,0,-0.16078431372549018
Netherlands,1932,8,0,-0.4039215686274509
Netherlands,1936,15,0,0.44705882352941173
Netherlands,1948,15,0,0.44705882352941173
Netherlands,1952,5,0,-0.7686274509803921
Netherlands,1956,0,0,-1.376470588235294
Netherlands,1960,3,0,-1.011764705882353
Netherlands,1964,10,0,-0.16078431372549018
Netherlands,1968,7,0,-0.5254901960784313
Netherlands,1972,5,0,-0.7686274509803921
Netherlands,1976,5,0,-0.7686274509803921
Netherlands,1980,3,0,-1.011764705882353
Netherlands,1984,13,0,0.203921568627451
Netherlands,1988,9,0,-0.28235294117647053
Netherlands,1992,15,0,0.44705882352941173
Netherlands,1996,19,0,0.9333333333333333
Netherlands,2000,25,0,1.6627450980392158
Netherlands,2004,22,0,1.2980392156862743
Netherlands,2008,15,0,0.44705882352941173
Netherlands,2012,20,0,1.0549019607843135
Netherlands,2016,18,0,0.8117647058823529
Netherlands,2020,36,0,3.0
Netherlands,2024,34,0,2.756862745098039
Netherlands,1928,22,1,1.2980392156862743
South Korea,1896,0,0,-1.2575107296137338
South Korea,1900,0,0,-1.2575107296137338
South Korea,1904,0,0,-1.2575107296137338
South Korea,1906,0,0,-1.2575107296137338
South Korea,1908,0,0,-1.2575107296137338
South Korea,1912,0,0,-1.2575107296137338
South Korea,1920,0,0,-1.2575107296137338
South Korea,1924,0,0,-1.2575107296137338
South Korea,1928,0,0,-1.2575107296137338
South Korea,1932,0,0,-1.2575107296137338
South Korea,1936,0,0,-1.2575107296137338
South Korea,1948,2,0,-0.9914163090128756
South Korea,1952,2,0,-0.9914163090128756
South Korea,1956,2,0,-0.9914163090128756
South Korea,1960,0,0,-1.2575107296137338
South Korea,1964,3,0,-0.8583690987124464
South Korea,1968,2,0,-0.9914163090128756
South Korea,1972,1,0,-1.1244635193133048
South Korea,1976,6,0,-0.45922746781115875
South Korea,1980,0,0,-1.2575107296137338
South Korea,1984,19,0,1.2703862660944207
South Korea,1992,23,0,1.8025751072961373
South Korea,1996,22,0,1.6695278969957084
South Korea,2000,25,0,2.0686695278969958
South Korea,2004,27,0,2.334763948497854
South Korea,2008,28,0,2.467811158798283
South Korea,2012,27,0,2.334763948497854
South Korea,2016,20,0,1.40343347639485
South Korea,2020,20,0,1.40343347639485
South Korea,2024,32,0,3.0
South Korea,1988,32,1,3.0
Soviet Union,1896,0,0,-0.5975004959333465
Soviet Union,1900,0,0,-0.5975004959333465
Soviet Union,1904,0,0,-0.5975004959333465
Soviet Union,1906,0,0,-0.5975004959333465
Soviet Union,1908,0,0,-0.5975004959333465
Soviet Union,1912,0,0,-0.5975004959333465
Soviet Union,1920,0,0,-0.5975004959333465
Soviet Union,1924,0,0,-0.5975004959333465
Soviet Union,1928,0,0,-0.5975004959333465
Soviet Union,1932,0,0,-0.5975004959333465
Soviet Union,1936,0,0,-0.5975004959333465
Soviet Union,1948,0,0,-0.5975004959333465
Soviet Union,1952,70,0,0.6939099385042649
Soviet Union,1956,98,0,1.2104741122793097
Soviet Union,1960,102,0,1.284268994247173
Soviet Union,1964,93,0,1.11823050981948
Soviet Union,1968,91,0,1.0813330688355483
Soviet Union,1972,99,0,1.2289228327712753
Soviet Union,1976,125,0,1.7085895655623884
Soviet Union,1984,0,0,-0.5975004959333465
Soviet Union,1988,131,0,1.8192818885141833
Soviet Union,1992,0,0,-0.5975004959333465
Soviet Union,1996,0,0,-0.5975004959333465
Soviet Union,2000,0,0,-0.5975004959333465
Soviet Union,2004,0,0,-0.5975004959333465
Soviet Union,2008,0,0,-0.5975004959333465
Soviet Union,2012,0,0,-0.5975004959333465
Soviet Union,2016,0,0,-0.5975004959333465
Soviet Union,2020,0,0,-0.5975004959333465
Soviet Union,2024,0,0,-0.5975004959333465
Soviet Union,1980,195,1,3.0
Spain,1896,0,0,-1.0756972111553782
Spain,1900,1,0,-0.8904382470119521
Spain,1904,0,0,-1.0756972111553782
Spain,1906,0,0,-1.0756972111553782
Spain,1908,0,0,-1.0756972111553782
Spain,1912,0,0,-1.0756972111553782
Spain,1920,2,0,-0.7051792828685257
Spain,1924,0,0,-1.0756972111553782
Spain,1928,1,0,-0.8904382470119521
Spain,1932,1,0,-0.8904382470119521
Spain,1936,0,0,-1.0756972111553782
Spain,1948,1,0,-0.8904382470119521
Spain,1952,1,0,-0.8904382470119521
Spain,1956,0,0,-1.0756972111553782
Spain,1960,1,0,-0.8904382470119521
Spain,1964,0,0,-1.0756972111553782
Spain,1968,0,0,-1.0756972111553782
Spain,1972,1,0,-0.8904382470119521
Spain,1976,2,0,-0.7051792828685257
Spain,1980,6,0,0.035856573705179244
Spain,1984,5,0,-0.149402390438247
Spain,1988,4,0,-0.33466135458167323
Spain,1996,17,0,2.073705179282868
Spain,2000,11,0,0.9621513944223106
Spain,2004,19,0,2.4442231075697207
Spain,2008,17,0,2.073705179282868
Spain,2012,17,0,2.073705179282868
Spain,2016,16,0,1.8884462151394414
Spain,2020,17,0,2.073705179282868
Spain,2024,18,0,2.2589641434262946
Spain,1992,22,1,3.0
Sweden,1896,0,0,-1.096028880866426
Sweden,1900,1,0,-1.028880866425993
Sweden,1904,0,0,-1.096028880866426
Sweden,1906,14,0,-0.15595667870036112
Sweden,1908,24,0,0.515523465703971
Sweden,1920,61,0,3.0
Sweden,1924,29,0,0.8512635379061371
Sweden,1928,24,0,0.515523465703971
Sweden,1932,22,0,0.3812274368231046
Sweden,1936,19,0,0.17978339350180497
Sweden,1948,44,0,1.8584837545126356
Sweden,1952,33,0,1.11985559566787
Sweden,1956,17,0,0.04548736462093853
Sweden,1960,6,0,-0.6931407942238268
Sweden,1964,6,0,-0.6931407942238268
Sweden,1968,4,0,-0.8274368231046932
Sweden,1972,16,0,-0.021660649819494688
Sweden,1976,5,0,-0.7602888086642601
Sweden,1980,12,0,-0.29025270758122756
Sweden,1984,19,0,0.17978339350180497
Sweden,1988,11,0,-0.3574007220216608
Sweden,1992,12,0,-0.29025270758122756
Sweden,1996,8,0,-0.5588447653429605
Sweden,2000,12,0,-0.29025270758122756
Sweden,2004,7,0,-0.6259927797833936
Sweden,2008,4,0,-0.8274368231046932
Sweden,2012,8,0,-0.5588447653429605
Sweden,2016,11,0,-0.3574007220216608
Sweden,2020,9,0,-0.49169675090252724
Sweden,2024,11,0,-0.3574007220216608
Sweden,1912,57,1,2.731407942238267
United States,1896,19,0,-1.926027397260274
United States,1900,45,0,-1.1899543378995432
United States,1906,23,0,-1.8127853881278537
United States,1908,46,0,-1.1616438356164385
United States,1912,63,0,-0.6803652968036529
United States,1920,95,0,0.22557077625570776
United States,1924,95,0,0.22557077625570776
United States,1928,56,0,-0.8785388127853879
United States,1936,57,0,-0.850228310502283
United States,1948,81,0,-0.1707762557077625
United States,1952,73,0,-0.39726027397260266
United States,1956,73,0,-0.39726027397260266
United States,1960,69,0,-0.5105022831050228
United States,1964,86,0,-0.029223744292237414
United States,1968,107,0,0.5652968036529681
United States,1972,94,0,0.1972602739726027
United States,1976,94,0,0.1972602739726027
United States,1980,0,0,-2.4639269406392694
United States,1988,94,0,0.1972602739726027
United States,1992,107,0,0.5652968036529681
United States,2000,90,0,0.08401826484018267
United States,2004,99,0,0.3388127853881278
United States,2008,106,0,0.536986301369863
United States,2012,98,0,0.31050228310502287
United States,2016,117,0,0.8484018264840182
United States,2020,113,0,0.7351598173515981
United States,2024,126,0,1.1031963470319635
United States,1904,193,1,3.0
United States,1932,107,1,0.5652968036529681
United States,1984,173,1,2.4337899543378994
United States,1996,99,1,0.3388127853881278
West Germany,1896,0,0,-0.3745387453874539
West Germany,1900,0,0,-0.3745387453874539
West Germany,1904,0,0,-0.3745387453874539
West Germany,1906,0,0,-0.3745387453874539
West Germany,1908,0,0,-0.3745387453874539
West Germany,1912,0,0,-0.3745387453874539
West Germany,1920,0,0,-0.3745387453874539
West Germany,1924,0,0,-0.3745387453874539
West Germany,1928,0,0,-0.3745387453874539
West Germany,1932,0,0,-0.3745387453874539
West Germany,1936,0,0,-0.3745387453874539
West Germany,1948,0,0,-0.3745387453874539
West Germany,1952,0,0,-0.3745387453874539
West Germany,1956,0,0,-0.3745387453874539
West Germany,1960,0,0,-0.3745387453874539
West Germany,1964,0,0,-0.3745387453874539
West Germany,1968,26,0,1.1125461254612548
West Germany,1976,39,0,1.856088560885609
West Germany,1980,0,0,-0.3745387453874539
West Germany,1984,59,0,3.0
West Germany,1988,40,0,1.9132841328413288
West Germany,1992,0,0,-0.3745387453874539
West Germany,1996,0,0,-0.3745387453874539
West Germany,2000,0,0,-0.3745387453874539
West Germany,2004,0,0,-0.3745387453874539
West Germany,2008,0,0,-0.3745387453874539
West Germany,2012,0,0,-0.3745387453874539
West Germany,2016,0,0,-0.3745387453874539
West Germany,2020,0,0,-0.3745387453874539
West Germany,2024,0,0,-0.3745387453874539
West Germany,1972,39,1,1.856088560885609
