country,year,medals,iso3,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,gdi,gdi_group,gii,gii_rank,gnipc,hdi,hdi_f,ihdi,ineq_edu,ineq_inc,ineq_le,le,loss,mf,mmr,mys,phdi,pop_total,GDP (current US$),medals_per_capita,gdp per capita
Kazakhstan,1998,3,KAZ,37.319,9.324048836,,11.20943953,11.97687607,,,,,12168.97845,0.678,,,,,,63.349,,9.1755,66.59218993,9.314498888,0.602,15647785.5,22135245507.0,1.9172041948044342e-07,1414.5928513015467
Kazakhstan,1996,14,KAZ,45.24,9.570282219,,10.76233184,11.69586792,,,,,11830.70791,0.669,,,,,,63.455,,8.1991,70.79228136,8.863496741,0.597,16416027.0,21035357937.0,8.528251080483725e-07,1281.391528961301
Kazakhstan,2010,1,KAZ,29.99,14.96305262,11.3451872,17.92573624,14.49207973,1.014,,0.27,,23852.09045,0.781,0.784218099,0.691,5.874,15.0153656,13.146196,68.257,11.52368758,14.721,19.63788885,11.17462858,0.641,16836810.5,148047000000.0,5.939367197843083e-08,8793.05495539075
Kazakhstan,2004,8,KAZ,27.196,12.0059673,,13.86271871,13.84398651,1.014,,0.333,,19582.77894,0.743,0.746334299,,,,,65.04,,10.9371,35.98776647,10.77750027,0.64,15850159.5,43151647003.0,5.047267820869563e-07,2722.473991697055
Kazakhstan,1994,3,KAZ,55.092,10.44556176,,12.46246246,11.41485977,,,,,12427.73488,0.666,,,,,,64.108,,10.1155,75.1860864,8.410630949,0.583,17043771.5,21250792886.0,1.7601737972138385e-07,1246.8362935985149
Uzbekistan,2020,3,UZB,21.316,3.269995075,,5.117565698,11.89046955,0.923,,0.266,,7768.592791,0.723,0.686672579,,1.93381,,9.4298058,71.461,,5.5109,30.17849377,11.88999987,0.686,33586372.0,66443265418.0,8.932194284038776e-08,1978.2805185984364
Uzbekistan,2016,9,UZB,22.953,3.501637048,,5.182072829,11.7448597,0.965,,0.267,,7037.255155,0.714,0.700548404,,1.93381,,11.475196,71.58,,5.133,30.28351217,11.67000008,0.677,31284568.0,86138288644.0,2.8768177332670857e-07,2753.3795142704225
Uzbekistan,2000,6,UZB,21.589,4.953843754,,4.809286899,10.59078026,0.944,,0.352,,2714.546755,0.603,0.583527915,,,,,65.456,,2.7525,42.6469966,10.06157244,0.574,24787054.5,13760513969.0,2.4206183917496126e-07,555.1492198881476
Uzbekistan,2008,4,UZB,11.733,4.630474981,,4.826546003,11.45750999,0.963,,0.234,,4384.085051,0.663,0.649864419,,,,,69.035,,3.2511,38.47462197,10.7889336,0.631,27494774.5,29549438884.0,1.4548218971572217e-07,1074.7292684288063
Uzbekistan,2004,5,UZB,10.448,4.920830147,,4.430379747,11.31293011,0.959,,0.227,,3227.66305,0.632,0.617496055,,,,,67.203,,2.2709,42.4974154,10.41890767,0.604,26029350.0,12030023548.0,1.9209085128902565e-07,462.17149287246895
Uzbekistan,1996,2,UZB,54.433,4.610267671,,,10.63515718,,,,,2480.406666,,,,,,,64.78,,3.6513,43.25582613,,,23351981.0,13948892216.0,8.564583878344197e-08,597.3322869695724
Uzbekistan,1994,1,UZB,62.448,4.86533587,,,10.6373885,,,,,2563.329209,,,,,,,64.681,,4.0113,47.13144813,,,22463291.0,12899074922.0,4.451707454620073e-08,574.2290798797025
Azerbaijan,2020,5,AZE,41.585,3.522933653,7.34300949,6.869220608,12.63230991,0.971,,0.332,,18743.01221,0.757,0.744039471,0.701,4.04531,5.70273447,12.280984,70.312,7.397622193,8.2539,40.76367015,10.74750018,0.705,10181730.0,42693000000.0,4.910756816375998e-07,4193.09881523081
Azerbaijan,2016,16,AZE,58.882,3.480998067,7.208985666,6.088082902,13.1896801,0.944,,0.328,,18339.65539,0.772,0.74531127,0.715,4.03635,3.587568998,14.003038,72.568,7.383419689,6.9158,26.01813784,10.64999962,0.725,9868428.0,37866996883.0,1.6213321919154703e-06,3837.186316098167
Azerbaijan,2012,6,AZE,58.124,3.455066935,11.37528051,6.524633822,11.94021988,0.937,,0.339,,18189.31493,0.751,0.722135455,0.664,3.4115,13.65611553,17.058226,71.08,11.58455393,7.63,29.37341347,10.60999966,0.702,9376180.5,69679944504.0,6.39919421346464e-07,7431.591627742235
Azerbaijan,2008,9,AZE,41.96,3.670846215,,5.882352941,11.6370697,0.947,,0.346,,15459.31358,0.731,0.708211604,,,,,69.355,,6.3866,32.79279591,10.59000015,0.688,8942638.5,48851293785.0,1.0064143820640855e-06,5462.738294184653
Azerbaijan,2000,5,AZE,30.144,3.634197225,,5.214723926,11.5074316,0.947,,0.358,,5284.408056,0.652,0.633234325,,,,,65.377,,5.1022,55.52084171,10.30000019,0.618,8174785.500000001,5272615723.0,6.11636843559993e-07,644.9852076241021
